DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-12-25;20;1;0;9;1;9;
2015-12-26;13;0;1;9;4;13;
2015-12-27;21;1;4;4;0;10;
2015-12-28;22;2;0;3;0;13;
2015-12-29;16;0;3;9;0;12;
2015-12-30;19;2;2;7;0;10;
2015-12-31;17;0;2;4;0;17;
2016-01-01;18;2;3;4;0;13;
2016-01-02;10;3;0;10;1;16;
2016-01-03;16;2;0;3;1;18;
2016-01-04;7;0;1;2;0;9;
2016-01-05;19;1;1;5;0;14;
2016-01-06;13;5;1;2;1;18;
2016-01-07;25;0;1;3;1;10;
2016-01-08;20;1;1;3;5;10;
2016-01-09;13;3;0;5;2;17;
2016-01-10;22;1;1;1;2;13;
2016-01-11;18;7;0;7;2;6;
2016-01-12;13;5;0;6;3;13;
2016-01-13;19;5;2;6;1;7;
2016-01-14;21;1;0;6;2;10;
2016-01-15;17;1;1;6;0;15;
2016-01-16;21;5;2;2;1;9;
2016-01-17;13;5;2;8;0;12;
2016-01-18;18;3;2;4;2;11;
2016-01-19;21;1;2;2;0;14;
2016-01-20;22;2;2;3;0;11;
